sat,lat,lon,rise_time,set_time,incidence_angle,reward,s,p,i,t,obs,,,,,,
smallsat00,1.13720631,-1.782253874,1022.498987,1025.047837,0.184132124,0.00328278,0,9,238,238,1,,,,,,
smallsat00,1.137684216,-1.915698834,1024.366498,1026.932062,0.475343716,0.003619429,0,12,239,239,1,,,,,,
smallsat00,1.138321104,-1.736423832,1024.427179,1026.995206,0.403349066,0.002702431,0,12,240,240,1,,,,,,
smallsat00,1.139012865,-1.738922497,1024.985969,1027.552632,0.391909719,0.30404514,0,11,241,241,1,,,,,,
smallsat00,1.142832466,-1.899701163,1028.523629,1031.0812,0.401432745,0.003096388,0,12,242,242,1,,,,,,
smallsat00,1.142880341,-1.927095171,1029.452916,1032.024196,0.515033445,0.242483277,0,13,243,243,1,,,,,,
smallsat00,1.145011073,-1.745979789,1030.245004,1032.80807,0.357369769,0.002666273,0,11,244,244,1,,,,,,
smallsat00,1.144092123,-1.928292467,1030.589383,1033.16107,0.518241944,0.240879028,0,13,245,245,1,,,,,,
smallsat00,1.146281324,-1.731039404,1031.800372,1034.371377,0.422736026,0.002792033,0,12,246,246,1,,,,,,
smallsat00,1.147069218,-1.707550152,1033.301457,1035.887485,0.518223091,0.001730543,0,13,247,247,1,,,,,,
smallsat01,0.741510411,1.351357529,1033.638084,1036.221157,0.254863577,0.15389377,1,10,248,248,1,,,,,,
smallsat00,1.149718139,-1.762678889,1034.154936,1036.71086,0.278166342,0.004946726,0,10,249,249,1,,,,,,
smallsat00,1.148926894,-1.723356744,1034.435434,1037.010941,0.453596256,0.002206925,0,12,250,250,1,,,,,,
smallsat00,1.149966028,-1.742408269,1034.828881,1037.393798,0.3712394,0.3143803,0,11,251,251,1,,,,,,
smallsat00,1.15036885,-1.750665247,1034.994685,1037.55567,0.333881845,0.333059077,0,11,252,252,1,,,,,,
smallsat00,1.150293766,-1.745874667,1035.039572,1037.602782,0.355611625,0.009714799,0,11,253,253,1,,,,,,
smallsat00,1.150154873,-1.739840191,1035.06696,1037.633167,0.382522362,0.308738819,0,11,254,254,1,,,,,,
smallsat00,1.150731495,-1.7215046,1036.131125,1038.707704,0.460141338,0.00187097,0,12,255,255,1,,,,,,
smallsat00,1.15129761,-1.733874255,1036.266959,1038.836311,0.407947368,0.007133247,0,12,256,256,1,,,,,,
smallsat00,1.153844324,-1.751092853,1038.138028,1040.698856,0.330672746,0.334663627,0,11,257,257,1,,,,,,
smallsat00,1.158230145,-1.803052387,1041.396631,1043.942257,0.080093294,0.004325401,0,8,258,258,1,,,,,,
smallsat00,1.157527423,-1.707641048,1042.771742,1045.356989,0.510426011,0.002485567,0,13,259,259,1,,,,,,
smallsat00,1.158501875,-1.702240965,1043.858776,1046.4477,0.530090692,0.003723561,0,13,260,260,1,,,,,,
smallsat00,1.160607789,-1.760764508,1044.072423,1046.629431,0.283902284,0.002863913,0,10,261,261,1,,,,,,
smallsat00,1.164281952,-1.79881759,1046.913597,1049.460323,0.101506886,0.01174061,0,8,262,262,1,,,,,,
smallsat00,1.176606437,-1.716138062,1059.757488,1062.336193,0.464201252,0.003344277,0,12,263,263,1,,,,,,
smallsat00,1.2061021,-1.919044054,1086.199264,1088.760659,0.408006549,0.007099975,0,12,264,264,1,,,,,,
smallsat00,1.207663594,-1.844484566,1086.281349,1088.827664,0.098813729,0.003519433,0,8,265,265,1,,,,,,
smallsat00,1.208720024,-1.889168066,1087.833429,1090.38588,0.288293903,0.002956664,0,10,266,266,1,,,,,,
smallsat00,1.211821021,-1.846780704,1090.067448,1092.614138,0.106673564,0.446663218,0,8,267,267,1,,,,,,
smallsat00,1.21182294,-1.851188184,1090.103851,1092.650787,0.125727742,0.437136129,0,8,268,268,1,,,,,,
smallsat00,1.211907624,-1.852756571,1090.194367,1092.741396,0.132401597,0.016314899,0,9,269,269,1,,,,,,
smallsat00,1.212324373,-1.821445155,1090.436778,1092.98355,0.006330025,0.496834987,0,7,270,270,1,,,,,,
smallsat00,1.213409811,-1.866043396,1091.700888,1094.24921,0.188122893,0.00660029,0,9,271,271,1,,,,,,
smallsat00,1.217166144,-1.818464936,1094.833426,1097.380739,0.019099568,0.005412282,0,7,272,272,1,,,,,,
smallsat00,1.217870698,-1.803307222,1095.526096,1098.074926,0.084855374,0.003713047,0,8,273,273,1,,,,,,
smallsat00,1.217533448,-1.896554754,1095.958454,1098.512502,0.308813859,0.002834554,0,11,274,274,1,,,,,,
smallsat00,1.221344794,-1.892704505,1099.325375,1101.878488,0.289777154,0.004016547,0,10,275,275,1,,,,,,
smallsat00,1.221933423,-1.870574812,1099.483319,1102.032482,0.200239684,0.00680596,0,9,276,276,1,,,,,,
smallsat00,1.220484573,-1.960067582,1100.563865,1103.14115,0.530694958,0.002427715,0,13,277,277,1,,,,,,
smallsat00,1.226202883,-1.858642677,1103.210445,1105.758333,0.14789363,0.002927269,0,9,278,278,1,,,,,,
smallsat00,1.236403686,-1.891461516,1112.925484,1115.478167,0.269941896,0.002900034,0,10,279,279,1,,,,,,
smallsat00,1.237044484,-1.958532128,1115.387843,1117.961717,0.502505379,0.002464588,0,13,280,280,1,,,,,,
smallsat00,1.241908001,-1.847104532,1117.358392,1119.906285,0.09281912,0.009313421,0,8,281,281,1,,,,,,
smallsat00,1.268508355,-1.723986476,1142.778735,1145.348764,0.364442161,0.002803869,0,11,1,282,1,,,,,,
smallsat01,0.432232884,1.317585355,1313.291332,1315.864262,0.166925407,0.416537296,1,9,282,283,1,,,,,,
smallsat01,0.389991203,1.340204124,1351.186227,1353.777984,0.435617614,0.282191193,1,12,5,284,1,,,,,,
smallsat01,0.389693799,1.340152113,1351.455192,1354.046919,0.435334188,0.282332906,1,12,6,285,1,,,,,,
smallsat01,0.388412902,1.337865034,1352.640287,1355.229649,0.414367535,0.293968796,1,12,7,286,1,,,,,,
smallsat01,0.38789227,1.33743481,1353.115299,1355.704256,0.410645135,0.295837322,1,12,8,287,1,,,,,,
smallsat01,0.384938126,1.33776363,1355.775898,1358.365461,0.416125907,0.293086149,1,12,9,288,1,,,,,,
smallsat04,0.49810969,-1.862957166,1581.272532,1583.846224,0.053331147,0.003325332,4,8,283,289,1,,,,,,
smallsat04,0.511854158,-1.881937621,1593.77895,1596.359803,0.242513563,0.003712189,4,10,284,290,1,,,,,,
smallsat04,0.539613393,-1.865351181,1618.764708,1621.344525,0.045827439,0.005752706,4,8,285,291,1,,,,,,
smallsat04,0.578682222,-1.870805388,1654.085269,1656.671252,0.074809671,0.003403775,4,8,286,292,1,,,,,,
smallsat00,1.241992702,1.361360831,1713.594498,1716.139949,0.341231861,0.32938407,0,11,21,293,1,,,,,,
smallsat00,1.241953432,1.361690698,1713.621878,1716.167416,0.342460441,0.32876978,0,11,22,294,1,,,,,,
smallsat00,1.238771871,1.366946757,1716.360006,1718.907042,0.364897583,0.317551209,0,11,26,295,1,,,,,,
smallsat04,0.71411307,-1.909747488,1776.957256,1779.57504,0.337858161,0.002792914,4,11,287,296,1,,,,,,
smallsat00,1.165684289,1.206233698,1783.229459,1785.773438,0.298136261,0.350931869,0,10,288,297,1,,,,,,
smallsat00,1.165620584,1.217464543,1783.498691,1786.038575,0.246720642,0.376639679,0,10,289,298,1,,,,,,
smallsat00,1.162425934,1.21119916,1786.282785,1788.82466,0.276570459,0.361714771,0,10,290,299,1,,,,,,
smallsat04,0.765457515,-1.930179272,1823.848162,1826.485355,0.454735063,0.001928602,4,12,291,300,1,,,,,,
smallsat04,0.775316793,-1.925897875,1832.676073,1835.310471,0.414637215,0.30889018,4,12,292,301,1,,,,,,
smallsat04,0.776041977,-1.929121672,1833.406005,1836.042879,0.437829206,0.281085397,4,12,293,302,1,,,,,,
smallsat04,0.777793066,-1.926576424,1834.933487,1837.568555,0.417546077,0.02273851,4,12,294,303,1,,,,,,
smallsat04,0.836809105,-1.857909796,1888.047477,1890.680597,0.189169688,0.405415156,4,9,45,304,1,,,,,,
smallsat04,0.836809105,-1.857902814,1888.047548,1890.680671,0.189226248,0.405386876,4,9,44,305,1,,,,,,
smallsat04,0.837777205,-1.857284845,1888.933474,1891.567011,0.194578483,0.021856187,4,9,46,306,1,,,,,,
smallsat04,0.874300872,-1.849139987,1922.234402,1924.878631,0.267316274,0.007426238,4,10,47,307,1,,,,,,
smallsat04,0.885352157,-1.83010499,1932.655323,1935.314878,0.403660107,0.004252301,4,12,48,308,1,,,,,,
smallsat04,0.894808334,-1.865138687,1940.692937,1943.333434,0.15120679,0.011082976,4,9,49,309,1,,,,,,
smallsat04,0.905280466,-1.822014656,1950.999457,1953.669246,0.455180703,0.004955858,4,12,51,310,1,,,,,,
smallsat04,0.906150304,-1.818271099,1951.897877,1954.571351,0.47819914,0.002686753,4,12,53,311,1,,,,,,
smallsat04,0.934126413,-1.963606499,1977.604629,1980.276201,0.51687232,0.001943784,4,13,295,312,1,,,,,,
smallsat04,0.938411633,-1.835413688,1980.825435,1983.48924,0.367968805,0.002774196,4,11,62,313,1,,,,,,
smallsat04,0.943726632,-1.86962942,1985.148908,1987.796198,0.132823634,0.003589821,4,9,67,314,1,,,,,,
smallsat04,0.943968604,-1.851248921,1985.583718,1988.238618,0.26264442,0.003072806,4,10,66,315,1,,,,,,
smallsat04,0.951933519,-1.843029991,1992.978028,1995.638864,0.318340916,0.010370761,4,11,77,316,1,,,,,,
smallsat04,0.952373883,-1.91716032,1993.119593,1995.767248,0.206060417,0.009179265,4,9,296,317,1,,,,,,
smallsat04,0.954799716,-1.877737923,1995.173655,1997.820712,0.078084427,0.019284937,4,8,81,318,1,,,,,,
smallsat04,0.955583875,-1.863884372,1995.991113,1998.642337,0.177144591,0.007616898,4,9,82,319,1,,,,,,
smallsat04,0.957200538,-1.914531523,1997.474921,2000.122463,0.184476888,0.011861784,4,9,297,320,1,,,,,,
smallsat04,0.958682009,-1.815706024,1999.810988,2002.493847,0.484581276,0.004160632,4,13,84,321,1,,,,,,
smallsat04,0.959226744,-1.959113899,2000.220608,2002.88911,0.467498644,0.004241906,4,12,298,322,1,,,,,,
smallsat04,0.961560982,-1.838834691,2001.829335,2004.494318,0.345314909,0.002851808,4,11,88,323,1,,,,,,
smallsat04,0.963212849,-1.876307346,2002.835738,2005.48449,0.091200702,0.007219502,4,8,89,324,1,,,,,,
smallsat04,0.963737756,-1.887482951,2003.279588,2005.926648,0.013134431,0.006217911,4,7,90,325,1,,,,,,
smallsat04,0.965190202,-1.836133096,2005.193296,2007.860627,0.362191806,0.003430132,4,11,91,326,1,,,,,,
smallsat04,0.96546181,-1.824879631,2005.719502,2008.39527,0.430411045,0.024615166,4,12,92,327,1,,,,,,
smallsat04,0.967627816,-1.882104771,2006.828739,2009.477052,0.051681044,0.474159478,4,8,97,328,1,,,,,,
smallsat04,0.967657487,-1.881734238,2006.856888,2009.505268,0.054321163,0.472839419,4,8,98,329,1,,,,,,
smallsat04,0.967036987,-1.819934922,2007.293822,2009.973933,0.458846672,0.002117172,4,12,95,330,1,,,,,,
smallsat04,0.969725492,-1.844558481,2009.149692,2011.812376,0.308614785,0.003047396,4,11,99,331,1,,,,,,
smallsat04,0.970203852,-1.928868041,2009.486305,2012.139435,0.271389415,0.00306405,4,10,299,332,1,,,,,,
smallsat04,0.971604025,-1.835990589,2011.037933,2013.70631,0.362602512,0.004491953,4,11,100,333,1,,,,,,
smallsat04,0.973492541,-1.853303435,2012.430756,2015.089364,0.252037727,0.00945175,4,10,103,334,1,,,,,,
smallsat04,0.974183116,-1.891493316,2012.782066,2015.430363,0.01675484,0.017825251,4,7,300,335,1,,,,,,
smallsat04,0.974437358,-1.893065771,2013.014976,2015.663263,0.029836834,0.026760657,4,7,301,336,1,,,,,,
smallsat04,0.974543334,-1.863486297,2013.253726,2015.908186,0.183986719,0.003282821,4,9,105,337,1,,,,,,
smallsat04,0.976087985,-1.880207948,2014.534014,2017.184016,0.06838981,0.01341146,4,8,106,338,1,,,,,,
smallsat04,0.980050965,-1.888530218,2018.120647,2020.770138,0.013008121,0.014043578,4,7,109,339,1,,,,,,
smallsat04,0.984448252,-1.909886591,2022.19975,2024.850109,0.133606315,0.006006996,4,9,302,340,1,,,,,,
smallsat04,0.985781143,-1.928958414,2023.639927,2026.294837,0.259390074,0.002874801,4,10,303,341,1,,,,,,
smallsat04,0.988110878,-1.89232343,2025.454577,2028.104978,0.011235356,0.012161146,4,7,116,342,1,,,,,,
smallsat04,0.988231725,-1.820651118,2026.580902,2029.263014,0.450354295,0.001920096,4,12,115,343,1,,,,,,
smallsat04,0.990194155,-1.838128984,2027.92396,2030.593602,0.347996047,0.002305269,4,11,117,344,1,,,,,,
smallsat04,0.993104858,-1.882720541,2030.012748,2032.665004,0.058166918,0.00383483,4,8,126,345,1,,,,,,
smallsat04,0.99608047,-1.802979659,2034.31073,2037.009936,0.541602722,0.004458372,4,13,127,346,1,,,,,,
smallsat04,1.002979809,-1.862748023,2039.156751,2041.815972,0.192923016,0.403538492,4,9,129,347,1,,,,,,
smallsat04,1.00440138,-1.856113154,2040.539159,2043.201297,0.235749003,0.382125498,4,10,130,348,1,,,,,,
smallsat04,1.005738826,-1.854597684,2041.780063,2044.443072,0.245485363,0.377257319,4,10,131,349,1,,,,,,
smallsat00,0.879827754,1.202422772,2042.096526,2044.616793,0.360260992,0.030341755,0,11,304,350,1,,,,,,
smallsat04,1.006765777,-1.854444619,2042.717917,2045.381152,0.246478777,0.376760611,4,10,132,351,1,,,,,,
smallsat04,1.007164044,-1.855321333,2043.067478,2045.730387,0.240928634,0.029228043,4,10,133,352,1,,,,,,
smallsat04,1.016617445,-1.822952107,2052.379289,2055.062918,0.430919008,0.003129756,4,12,135,353,1,,,,,,
smallsat04,1.020879592,-1.835718807,2055.936593,2058.611964,0.358565809,0.005031624,4,11,137,354,1,,,,,,
smallsat04,1.023266242,-1.949597404,2058.093508,2060.759763,0.352915516,0.028750611,4,11,305,355,1,,,,,,
smallsat04,1.023478649,-1.944042004,2058.166918,2060.830844,0.320536306,0.003297664,4,11,306,356,1,,,,,,
smallsat04,1.02458695,-1.940815064,2059.110385,2061.77309,0.300543298,0.175534022,4,10,307,357,1,,,,,,
smallsat04,1.024321416,-1.81257897,2059.713919,2062.406616,0.483330468,0.002630537,4,13,139,358,1,,,,,,
smallsat04,1.028662818,-1.888286675,2062.37139,2065.028321,0.033659742,0.003577714,4,7,141,359,1,,,,,,
smallsat04,1.031431399,-1.861407331,2065.092588,2067.756666,0.204463994,0.004326655,4,9,144,360,1,,,,,,
smallsat04,1.030723458,-1.808102061,2065.696882,2068.393965,0.503532748,0.003291247,4,13,142,361,1,,,,,,
smallsat04,1.032366878,-1.842003702,2066.268441,2068.941666,0.320733678,0.010049519,4,11,145,362,1,,,,,,
smallsat04,1.033575955,-1.836908074,2067.480263,2070.156553,0.349734303,0.325132848,4,11,147,363,1,,,,,,
smallsat04,1.033578398,-1.836898998,2067.482695,2070.15899,0.349785203,0.325107399,4,11,148,364,1,,,,,,
smallsat04,1.033817159,-1.831074137,2067.83861,2070.518572,0.382315154,0.308842423,4,11,149,365,1,,,,,,
smallsat04,1.034891584,-1.864993738,2068.20202,2070.865359,0.182612897,0.408693551,4,9,150,366,1,,,,,,
smallsat04,1.033642277,-1.812691351,2068.204563,2070.898025,0.479543452,0.002044874,4,12,146,367,1,,,,,,
smallsat04,1.035723408,-1.875785458,2068.859734,2071.520096,0.115262787,0.442368607,4,8,151,368,1,,,,,,
smallsat04,1.035798457,-1.884467947,2068.880979,2071.539601,0.06022506,0.46988747,4,8,152,369,1,,,,,,
smallsat04,1.036150664,-1.881300349,2069.215596,2071.874774,0.080604301,0.459697849,4,8,153,370,1,,,,,,
smallsat04,1.04398145,-1.909911235,2076.362767,2079.021308,0.098219536,0.011306523,4,8,308,371,1,,,,,,
smallsat04,1.044823467,-1.857046573,2077.356549,2080.024301,0.23199739,0.013650734,4,10,157,372,1,,,,,,
smallsat04,1.045401189,-1.818033124,2078.755175,2081.44555,0.448373696,0.010373149,4,12,158,373,1,,,,,,
smallsat04,1.051692943,-1.829168516,2084.180187,2086.863476,0.388441036,0.003378863,4,11,160,374,1,,,,,,
smallsat04,1.054174557,-1.799795672,2087.363387,2090.069398,0.533183254,0.00752353,4,13,161,375,1,,,,,,
smallsat04,1.055292423,-1.814251571,2087.886811,2090.58095,0.463832007,0.002589155,4,12,162,376,1,,,,,,
smallsat04,1.056845068,-1.928817723,2088.249318,2090.911963,0.203530657,0.006085557,4,9,309,377,1,,,,,,
smallsat04,1.061421758,-1.823474118,2093.200735,2095.888816,0.415343397,0.003675736,4,12,165,378,1,,,,,,
smallsat04,1.061673731,-1.812854034,2093.747384,2096.443124,0.468202752,0.010279286,4,12,166,379,1,,,,,,
smallsat04,1.063518474,-1.925192849,2094.277432,2096.940111,0.177328504,0.006039506,4,9,310,380,1,,,,,,
smallsat04,1.07135762,-1.934661121,2101.53258,2104.1981,0.226427736,0.003524395,4,10,311,381,1,,,,,,
smallsat04,1.070593742,-1.822406081,2101.591719,2104.281431,0.417657986,0.005450915,4,12,172,382,1,,,,,,
smallsat04,1.073492717,-1.7955862,2105.125208,2107.835842,0.542471534,0.003669836,4,13,173,383,1,,,,,,
smallsat00,0.809578252,1.302051977,2105.293818,2107.808765,0.457860592,0.350950149,0,12,179,384,1,,,,,,
smallsat04,1.075377114,-1.837589712,2105.569996,2108.251047,0.337834224,0.00471771,4,11,174,385,1,,,,,,
smallsat04,1.076282748,-1.919153155,2105.835797,2108.499284,0.133520303,0.02499043,4,9,312,386,1,,,,,,
smallsat04,1.07850038,-1.883319346,2107.793424,2110.458523,0.079334814,0.003069805,4,8,177,387,1,,,,,,
smallsat04,1.076691085,-1.801161602,2107.832081,2110.538112,0.51610593,0.002449149,4,13,175,388,1,,,,,,
smallsat04,1.080465394,-1.834088477,2110.289639,2112.973196,0.355088868,0.002584159,4,11,178,389,1,,,,,,
smallsat04,1.082208228,-1.92985951,2111.341198,2114.006944,0.190940783,0.002759701,4,9,313,390,1,,,,,,
smallsat04,1.083705982,-1.795852904,2114.421082,2117.13186,0.535886533,0.00197898,4,13,181,391,1,,,,,,
smallsat04,1.087732439,-1.879319627,2116.232087,2118.899356,0.104703348,0.004013018,4,8,186,392,1,,,,,,
smallsat04,1.087344941,-1.8107695,2117.213429,2119.912642,0.467138695,0.00505863,4,12,183,393,1,,,,,,
smallsat04,1.088629975,-1.849876516,2117.408812,2120.085541,0.269619477,0.006676895,4,10,187,394,1,,,,,,
smallsat04,1.08728841,-1.796216508,2117.671541,2120.382137,0.532353586,0.003908433,4,13,184,395,1,,,,,,
smallsat04,1.091249976,-1.864102538,2119.584313,2122.25605,0.191411595,0.008320914,4,9,193,396,1,,,,,,
smallsat04,1.089970405,-1.804867756,2119.803345,2122.507126,0.492809559,0.002766555,4,13,190,397,1,,,,,,
smallsat04,1.090883945,-1.80028241,2120.797707,2123.505119,0.512705147,0.005080699,4,13,191,398,1,,,,,,
smallsat04,1.095316855,-1.791744102,2125.158221,2127.873043,0.546799421,0.00288296,4,13,194,399,1,,,,,,
smallsat04,1.097608332,-1.893040376,2125.17663,2127.843077,0.029016592,0.016708682,4,7,196,400,1,,,,,,
smallsat04,1.097478375,-1.820707457,2126.149656,2128.842887,0.415948405,0.002330171,4,12,195,401,1,,,,,,
smallsat04,1.100130141,-1.974723269,2128.540622,2131.222449,0.409718591,0.003347092,4,12,314,402,1,,,,,,
smallsat04,1.100673392,-1.838450474,2128.617187,2131.300692,0.327207783,0.005143945,4,11,197,403,1,,,,,,
smallsat04,1.103394587,-1.851557984,2130.84406,2133.521957,0.258685778,0.003671976,4,10,198,404,1,,,,,,
smallsat04,1.10453249,-1.88017339,2131.54332,2134.212791,0.102835703,0.448582149,4,8,201,405,1,,,,,,
smallsat04,1.104607591,-1.866654122,2131.734601,2134.407405,0.177463781,0.003162378,4,9,200,406,1,,,,,,
smallsat04,1.104565407,-1.959140498,2132.181571,2134.857081,0.329000558,0.00235655,4,11,315,407,1,,,,,,
smallsat04,1.105340246,-1.894672015,2132.221881,2134.889241,0.022672466,0.007475904,4,7,202,408,1,,,,,,
smallsat04,1.108119805,-1.893336803,2134.757899,2137.425783,0.030021082,0.005247263,4,7,204,409,1,,,,,,
smallsat04,1.111069743,-1.862066332,2137.685045,2140.3601,0.202183345,0.002945273,4,9,206,410,1,,,,,,
smallsat04,1.111685861,-1.872535532,2138.128083,2140.800209,0.145677261,0.016950617,4,9,207,411,1,,,,,,
smallsat04,1.112206685,-1.93549106,2138.717939,2141.387953,0.199879939,0.00424277,4,9,316,412,1,,,,,,
smallsat04,1.112426649,-1.921072022,2138.76648,2141.434655,0.121919383,0.003934387,4,8,209,413,1,,,,,,
smallsat04,1.11512875,-1.904621561,2141.147161,2143.81528,0.036111418,0.005368538,4,7,211,414,1,,,,,,
smallsat04,1.115089742,-1.99058428,2142.598269,2145.288191,0.466105551,0.00181969,4,12,317,415,1,,,,,,
smallsat04,1.11700374,-1.875933287,2142.947795,2145.619834,0.127689004,0.436155498,4,8,214,416,1,,,,,,
smallsat04,1.117010721,-1.875944632,2142.954068,2145.626105,0.127628493,0.436185753,4,8,215,417,1,,,,,,
smallsat04,1.117775699,-1.92884338,2143.710067,2146.379676,0.160440177,0.006401364,4,9,318,418,1,,,,,,
smallsat04,1.118308077,-1.883845353,2144.082606,2146.753308,0.085003846,0.024428567,4,8,222,419,1,,,,,,
smallsat04,1.11910084,-1.917591417,2144.821739,2147.490415,0.099117521,0.029025533,4,8,223,420,1,,,,,,
smallsat04,1.121781684,-1.857940409,2147.513291,2150.191097,0.223072279,0.003419259,4,10,224,421,1,,,,,,
smallsat04,1.122114623,-1.90959184,2147.52807,2150.196947,0.054085463,0.004166754,4,8,226,422,1,,,,,,
smallsat04,1.120682981,-2.002292437,2148.073258,2150.769723,0.509560443,0.002908307,4,13,319,423,1,,,,,,
smallsat04,1.12542827,-1.925912187,2150.651244,2153.321311,0.139781502,0.430109249,4,9,229,424,1,,,,,,
smallsat04,1.125641252,-1.935971322,2150.955182,2153.626647,0.192369914,0.018843087,4,9,320,425,1,,,,,,
smallsat04,1.12662574,-1.936847721,2151.862806,2154.534507,0.196208598,0.401895701,4,9,321,426,1,,,,,,
smallsat04,1.126606594,-1.9424019,2151.92279,2154.595498,0.224741762,0.025245509,4,10,322,427,1,,,,,,
smallsat04,1.127233813,-1.920554375,2152.252171,2154.92202,0.110253895,0.444873052,4,8,233,428,1,,,,,,
smallsat04,1.127226029,-1.972813372,2153.100621,2155.782455,0.372882239,0.002288771,4,11,323,429,1,,,,,,
smallsat04,1.130732657,-1.908230849,2155.378958,2158.048974,0.042906403,0.003236572,4,7,236,430,1,,,,,,
smallsat04,1.131664209,-1.94918685,2156.633987,2159.30874,0.254864633,0.008262806,4,10,324,431,1,,,,,,
smallsat04,1.13214695,-1.93377027,2156.852468,2159.524288,0.176334214,0.002982494,4,9,325,432,1,,,,,,
smallsat04,1.133942841,-1.800979808,2160.011847,2162.720342,0.48522796,0.001834648,4,13,237,433,1,,,,,,
smallsat04,1.137684216,-1.915698834,2161.745238,2164.416241,0.078963099,0.006353927,4,8,239,434,1,,,,,,
smallsat04,1.142832466,-1.899701163,2166.400823,2169.072907,0.007798312,0.005132659,4,7,242,435,1,,,,,,
smallsat04,1.142880341,-1.927095171,2166.560912,2169.233217,0.134809652,0.432595174,4,9,243,436,1,,,,,,
smallsat04,1.144092123,-1.928292467,2167.675974,2170.348427,0.140173073,0.429913464,4,9,245,437,1,,,,,,
smallsat04,1.143769167,-1.964840761,2167.948851,2170.628713,0.319284461,0.004777715,4,11,326,438,1,,,,,,
smallsat04,1.147038064,-1.935240448,2170.431962,2173.105531,0.173144363,0.413427819,4,9,327,439,1,,,,,,
smallsat04,1.147064244,-1.935868068,2170.463107,2173.136765,0.176263568,0.411868216,4,9,328,440,1,,,,,,
smallsat04,1.149118322,-1.94026368,2172.388503,2175.063023,0.196892438,0.401553781,4,9,329,441,1,,,,,,
smallsat04,1.151272302,-1.962813735,2174.729328,2177.409057,0.302719975,0.005259583,4,10,330,442,1,,,,,,
smallsat04,1.152702495,-1.941501782,2175.668873,2178.343948,0.199965241,0.028103088,4,9,331,443,1,,,,,,
smallsat04,1.155618102,-1.983721872,2179.18001,2181.867171,0.391751986,0.020917446,4,11,332,444,1,,,,,,
smallsat04,1.158230145,-1.803052387,2182.07442,2184.782278,0.461566135,0.002531716,4,12,258,445,1,,,,,,
smallsat04,1.164281952,-1.79881759,2187.731196,2190.441844,0.474315117,0.006869124,4,12,262,446,1,,,,,,
smallsat00,0.717969986,1.187447323,2188.064348,2190.577471,0.452260672,0.273869664,0,12,333,447,1,,,,,,
smallsat04,1.168479992,-1.977670484,2190.709143,2193.394395,0.351990094,0.003011518,4,11,334,448,1,,,,,,
smallsat00,0.713292521,1.183280367,2192.186726,2194.703914,0.482997825,0.047261064,0,13,335,449,1,,,,,,
smallsat00,0.708649928,1.177977341,2196.239524,2198.762582,0.521177089,0.239411455,0,13,336,450,1,,,,,,
smallsat04,1.176800116,-1.975426113,2198.218544,2200.903435,0.333722442,0.002377278,4,11,337,451,1,,,,,,
smallsat04,1.189851305,-2.034877246,2211.957288,2214.667839,0.54549624,0.002247673,4,13,338,452,1,,,,,,
smallsat04,1.2061021,-1.919044054,2224.147776,2226.827065,0.062000612,0.011249739,4,8,264,453,1,,,,,,
smallsat04,1.207663594,-1.844484566,2226.100509,2228.79206,0.264554065,0.002872162,4,10,265,454,1,,,,,,
smallsat04,1.208720024,-1.889168066,2226.547037,2229.228539,0.071976752,0.003855318,4,8,266,455,1,,,,,,
smallsat04,1.21182294,-1.851188184,2229.780727,2232.470563,0.235231331,0.382384334,4,10,268,456,1,,,,,,
smallsat04,1.211907624,-1.852756571,2229.832921,2232.52231,0.228652254,0.014504937,4,10,269,457,1,,,,,,
smallsat04,1.211821021,-1.846780704,2229.853455,2232.544627,0.253492559,0.37325372,4,10,267,458,1,,,,,,
smallsat04,1.212324373,-1.821445155,2230.85343,2233.553935,0.354584119,0.32270794,4,11,270,459,1,,,,,,
smallsat04,1.213409811,-1.866043396,2231.021178,2233.707299,0.172217776,0.006729594,4,9,271,460,1,,,,,,
smallsat04,1.217533448,-1.896554754,2234.564388,2237.246082,0.040887095,0.003933322,4,7,274,461,1,,,,,,
smallsat04,1.217166144,-1.818464936,2235.344416,2238.046407,0.363084776,0.003514286,4,11,272,462,1,,,,,,
smallsat04,1.217870698,-1.803307222,2236.411832,2239.120767,0.418644418,0.002358753,4,12,273,463,1,,,,,,
smallsat04,1.220484573,-1.960067582,2237.670222,2240.354314,0.227778868,0.0039947,4,10,277,464,1,,,,,,
smallsat04,1.221344794,-1.892704505,2238.056716,2240.739204,0.05876209,0.005323014,4,8,275,465,1,,,,,,
smallsat04,1.221933423,-1.870574812,2238.752653,2241.438729,0.151806955,0.007218123,4,9,276,466,1,,,,,,
smallsat04,1.226202883,-1.858642677,2242.795128,2245.484311,0.200207651,0.002747553,4,9,278,467,1,,,,,,
smallsat04,1.236403686,-1.891461516,2251.810938,2254.495371,0.064783977,0.00371499,4,8,279,468,1,,,,,,
smallsat04,1.237044484,-1.958532128,2252.730739,2255.415897,0.20738106,0.003926634,4,9,280,469,1,,,,,,
smallsat04,1.241908001,-1.847104532,2257.30849,2260.002101,0.240235294,0.007799998,4,10,281,470,1,,,,,,
smallsat00,0.416281098,1.195383335,2460.027122,2462.49095,0.265643396,0.367178302,0,10,339,471,1,,,,,,
smallsat00,0.415985788,1.194788003,2460.287595,2462.751806,0.271774865,0.364112567,0,10,340,472,1,,,,,,
smallsat00,0.414235747,1.196146393,2461.872122,2464.334939,0.256230566,0.371884717,0,10,341,473,1,,,,,,
